Year,Area,Sex,City,City type,Record Type,Reliability,Source Year,Value,Value Footnotes
2012,Total,Both Sexes,San Juan,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,480354,1
2012,Total,Both Sexes,San NicolÃ¡s-Villa ConstituciÃ_n,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,181730,1
2012,Total,Both Sexes,San Salvador de Jujuy-PalpalÃ¡,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,318287,1
2012,Total,Both Sexes,Santa FÃ©,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,516203,1
2012,Total,Both Sexes,Santa Rosa-Toay,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,125354,1
2012,Total,Both Sexes,Santiago del Estero-La Banda,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,381767,1
2012,Total,Both Sexes,TucumÃ¡n-TafÃ_ Viejo,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,828258,"1,3"
2012,Total,Both Sexes,Ushuaia-RÃ_o Grande,Urban agglomeration,Estimate - de facto,"Final figure, complete",2012,127797,1
2012,Total,Both Sexes,Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,1250795,4
2012,Total,Both Sexes,Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,2099328,4
2012,Total,Both Sexes,Cairns,City proper,Estimate - de jure,"Final figure, complete",2014,142124,4
2012,Total,Both Sexes,Canberra-Queanbeyan,City proper,Estimate - de jure,"Final figure, complete",2014,412049,4
2012,Total,Both Sexes,Central Coast,City proper,Estimate - de jure,"Final figure, complete",2014,317517,4
2012,Total,Both Sexes,Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,116215,4
2012,Total,Both Sexes,Geelong,City proper,Estimate - de jure,"Final figure, complete",2014,179689,4
2012,Total,Both Sexes,Gold Coast-Tweed Heads,City proper,Estimate - de jure,"Final figure, complete",2014,592389,4
2012,Total,Both Sexes,Greater Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,1278432,4
2012,Total,Both Sexes,Greater Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,2192065,4
2012,Total,Both Sexes,Greater Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,131938,4
2012,Total,Both Sexes,Greater Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,216981,4
2012,Total,Both Sexes,Greater Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,4248344,4
2012,Total,Both Sexes,Greater Perth,City proper,Estimate - de jure,"Final figure, complete",2014,1899999,4
2012,Total,Both Sexes,Greater Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,4672619,4
2012,Total,Both Sexes,Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,205557,4
2012,Total,Both Sexes,Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,4086734,4
2012,Total,Both Sexes,Newcastle-Maitland,City proper,Estimate - de jure,"Final figure, complete",2014,420850,4
2012,Total,Both Sexes,Perth,City proper,Estimate - de jure,"Final figure, complete",2014,1834184,4
2012,Total,Both Sexes,Sunshine Coast,City proper,Estimate - de jure,"Final figure, complete",2014,286497,4
2012,Total,Both Sexes,Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,4293416,4
2012,Total,Both Sexes,Toowoomba,City proper,Estimate - de jure,"Final figure, complete",2014,110855,4
2012,Total,Both Sexes,Townsville,City proper,Estimate - de jure,"Final figure, complete",2014,171824,4
2012,Total,Both Sexes,Wollongong,City proper,Estimate - de jure,"Final figure, complete",2014,283243,4
2012,Total,Male,Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,614513,4
2012,Total,Male,Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1043596,4
2012,Total,Male,Cairns,City proper,Estimate - de jure,"Final figure, complete",2014,70542,4
2012,Total,Male,Canberra-Queanbeyan,City proper,Estimate - de jure,"Final figure, complete",2014,205316,4
2012,Total,Male,Central Coast,City proper,Estimate - de jure,"Final figure, complete",2014,154157,4
2012,Total,Male,Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,60798,4
2012,Total,Male,Geelong,City proper,Estimate - de jure,"Final figure, complete",2014,88796,4
2012,Total,Male,Gold Coast-Tweed Heads,City proper,Estimate - de jure,"Final figure, complete",2014,290597,4
2012,Total,Male,Greater Adelaide,City proper,Estimate - de jure,"Final figure, complete",2014,628449,4
2012,Total,Male,Greater Brisbane,City proper,Estimate - de jure,"Final figure, complete",2014,1090482,4
2012,Total,Male,Greater Darwin,City proper,Estimate - de jure,"Final figure, complete",2014,69000,4
2012,Total,Male,Greater Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,107343,4
2012,Total,Male,Greater Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2098009,4
2012,Total,Male,Greater Perth,City proper,Estimate - de jure,"Final figure, complete",2014,949588,4
2012,Total,Male,Greater Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2316731,4
2012,Total,Male,Hobart,City proper,Estimate - de jure,"Final figure, complete",2014,101483,4
2012,Total,Male,Melbourne,City proper,Estimate - de jure,"Final figure, complete",2014,2017615,4
2012,Total,Male,Newcastle-Maitland,City proper,Estimate - de jure,"Final figure, complete",2014,208652,4
2012,Total,Male,Perth,City proper,Estimate - de jure,"Final figure, complete",2014,915991,4
2012,Total,Male,Sunshine Coast,City proper,Estimate - de jure,"Final figure, complete",2014,139412,4
2012,Total,Male,Sydney,City proper,Estimate - de jure,"Final figure, complete",2014,2131328,4
