,California,Mississippi
Intercept,-10.111***,-12.136***
,(3.497),(1.030)
C(sex)[T.2],-4.980***,-5.154***
,(0.924),(0.350)
sch,1.850***,2.096***
,(0.205),(0.053)
age,0.115**,0.217***
,(0.045),(0.017)
R-squared,0.199,0.262
R-squared Adj.,0.193,0.262
N,430,5079
